"ANO","MES","ANO_MES","TPM"
2008,1,"Jan 2008",7
2008,2,"Feb 2008",8
2008,3,"Mar 2008",9
2008,4,"Apr 2008",9
2008,5,"May 2008",9
2008,6,"Jun 2008",9
2008,7,"Jul 2008",9
2008,8,"Aug 2008",9.5
2008,9,"Sep 2008",9.5
2008,10,"Oct 2008",9.5
2008,11,"Nov 2008",9.5
2008,12,"Dec 2008",9.5
2009,1,"Jan 2009",8.5
2009,2,"Feb 2009",6
2009,3,"Mar 2009",6
2009,4,"Apr 2009",5
2009,5,"May 2009",5
2009,6,"Jun 2009",5
2009,7,"Jul 2009",5
2009,8,"Aug 2009",5
2009,9,"Sep 2009",4
2009,10,"Oct 2009",4
2009,11,"Nov 2009",4
2009,12,"Dec 2009",4
2010,1,"Jan 2010",4
2010,2,"Feb 2010",4
2010,3,"Mar 2010",4
2010,4,"Apr 2010",4
2010,5,"May 2010",4
2010,6,"Jun 2010",4
2010,7,"Jul 2010",4
2010,8,"Aug 2010",4
2010,9,"Sep 2010",4
2010,10,"Oct 2010",4.75
2010,11,"Nov 2010",5
2010,12,"Dec 2010",5
2011,1,"Jan 2011",5
2011,2,"Feb 2011",5
2011,3,"Mar 2011",6
2011,4,"Apr 2011",6.25
2011,5,"May 2011",6.75
2011,6,"Jun 2011",6.75
2011,7,"Jul 2011",6.75
2011,8,"Aug 2011",6.75
2011,9,"Sep 2011",6.75
2011,10,"Oct 2011",6.75
2011,11,"Nov 2011",6.75
2011,12,"Dec 2011",6.75
2012,1,"Jan 2012",6.75
2012,2,"Feb 2012",6.75
2012,3,"Mar 2012",6.75
2012,4,"Apr 2012",6.75
2012,5,"May 2012",6.75
2012,6,"Jun 2012",6
2012,7,"Jul 2012",6
2012,8,"Aug 2012",5.5
2012,9,"Sep 2012",5
2012,10,"Oct 2012",5
2012,11,"Nov 2012",5
2012,12,"Dec 2012",5
2013,1,"Jan 2013",5
2013,2,"Feb 2013",5
2013,3,"Mar 2013",5
2013,4,"Apr 2013",5
2013,5,"May 2013",5
2013,6,"Jun 2013",4.25
2013,7,"Jul 2013",4.25
2013,8,"Aug 2013",4.25
2013,9,"Sep 2013",6.25
2013,10,"Oct 2013",6.25
2013,11,"Nov 2013",6.25
2013,12,"Dec 2013",6.25
2014,1,"Jan 2014",6.25
2014,2,"Feb 2014",6.25
2014,3,"Mar 2014",6.25
2014,4,"Apr 2014",6.25
2014,5,"May 2014",6.25
2014,6,"Jun 2014",6.25
2014,7,"Jul 2014",6.25
